@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
152,633,1,3392,151,0.957381,0.998423,0.157267,0.998423,0.842733,0.271732,0.96361,1.036127,0
153,633,1,3391,152,0.957099,0.998423,0.157306,0.998423,0.842694,0.27179,0.963371,1.036385,0
154,633,1,3390,153,0.956816,0.998423,0.157345,0.998423,0.842655,0.271849,0.963131,1.036642,0
155,633,1,3389,154,0.956534,0.998423,0.157384,0.998423,0.842616,0.271907,0.962892,1.0369,0
156,633,1,3388,155,0.956252,0.998423,0.157424,0.998423,0.842576,0.271966,0.962653,1.037158,0
157,633,1,3387,156,0.95597,0.998423,0.157463,0.998423,0.842537,0.272024,0.962413,1.037416,0
158,633,1,3386,157,0.955687,0.998423,0.157502,0.998423,0.842498,0.272083,0.962174,1.037674,0
159,633,1,3385,158,0.955405,0.998423,0.157541,0.998423,0.842459,0.272141,0.961934,1.037932,0
160,633,1,3384,159,0.955123,0.998423,0.15758,0.998423,0.84242,0.2722,0.961695,1.038191,0
161,633,1,3383,160,0.954841,0.998423,0.15762,0.998423,0.84238,0.272258,0.961456,1.038449,0
162,633,1,3382,161,0.954558,0.998423,0.157659,0.998423,0.842341,0.272317,0.961216,1.038708,0
163,633,1,3381,162,0.954276,0.998423,0.157698,0.998423,0.842302,0.272375,0.960977,1.038967,0
164,633,1,3380,163,0.953994,0.998423,0.157737,0.998423,0.842263,0.272434,0.960737,1.039225,0
165,633,1,3379,164,0.953712,0.998423,0.157777,0.998423,0.842223,0.272492,0.960498,1.039484,0
166,633,1,3378,165,0.953429,0.998423,0.157816,0.998423,0.842184,0.272551,0.960259,1.039744,0
167,633,1,3377,166,0.953147,0.998423,0.157855,0.998423,0.842145,0.27261,0.960019,1.040003,0
168,633,1,3376,167,0.952865,0.998423,0.157895,0.998423,0.842105,0.272669,0.95978,1.040262,0
169,633,1,3375,168,0.952583,0.998423,0.157934,0.998423,0.842066,0.272727,0.95954,1.040522,0
170,633,1,3374,169,0.9523,0.998423,0.157974,0.998423,0.842026,0.272786,0.959301,1.040782,0
171,633,1,3373,170,0.952018,0.998423,0.158013,0.998423,0.841987,0.272845,0.959062,1.041041,0
172,633,1,3372,171,0.951736,0.998423,0.158052,0.998423,0.841948,0.272904,0.958822,1.041301,0
173,633,1,3371,172,0.951454,0.998423,0.158092,0.998423,0.841908,0.272962,0.958583,1.041561,0
174,633,1,3370,173,0.951171,0.998423,0.158131,0.998423,0.841869,0.273021,0.958343,1.041822,0
175,633,1,3369,174,0.950889,0.998423,0.158171,0.998423,0.841829,0.27308,0.958104,1.042082,0
176,633,1,3368,175,0.950607,0.998423,0.15821,0.998423,0.84179,0.273139,0.957864,1.042342,0
177,633,1,3367,176,0.950325,0.998423,0.15825,0.998423,0.84175,0.273198,0.957625,1.042603,0
178,633,1,3366,177,0.950042,0.998423,0.15829,0.998423,0.84171,0.273257,0.957386,1.042864,0
179,633,1,3365,178,0.94976,0.998423,0.158329,0.998423,0.841671,0.273316,0.957146,1.043124,0
180,633,1,3364,179,0.949478,0.998423,0.158369,0.998423,0.841631,0.273375,0.956907,1.043385,0
181,633,1,3363,180,0.949196,0.998423,0.158408,0.998423,0.841592,0.273434,0.956667,1.043647,0
182,633,1,3362,181,0.948913,0.998423,0.158448,0.998423,0.841552,0.273493,0.956428,1.043908,0
183,633,1,3361,182,0.948631,0.998423,0.158488,0.998423,0.841512,0.273552,0.956189,1.044169,0
184,633,1,3360,183,0.948349,0.998423,0.158527,0.998423,0.841473,0.273611,0.955949,1.044431,0
185,633,1,3359,184,0.948067,0.998423,0.158567,0.998423,0.841433,0.273671,0.95571,1.044692,0
186,633,1,3358,185,0.947784,0.998423,0.158607,0.998423,0.841393,0.27373,0.95547,1.044954,0
187,633,1,3357,186,0.947502,0.998423,0.158647,0.998423,0.841353,0.273789,0.955231,1.045216,0
188,633,1,3356,187,0.94722,0.998423,0.158686,0.998423,0.841314,0.273848,0.954992,1.045478,0
189,633,1,3355,188,0.946938,0.998423,0.158726,0.998423,0.841274,0.273907,0.954752,1.04574,0
190,633,1,3354,189,0.946655,0.998423,0.158766,0.998423,0.841234,0.273967,0.954513,1.046002,0
191,633,1,3353,190,0.946373,0.998423,0.158806,0.998423,0.841194,0.274026,0.954273,1.046265,0
192,633,1,3352,191,0.946091,0.998423,0.158846,0.998423,0.841154,0.274085,0.954034,1.046527,0
193,633,1,3351,192,0.945809,0.998423,0.158886,0.998423,0.841114,0.274145,0.953795,1.04679,0
194,633,1,3350,193,0.945526,0.998423,0.158925,0.998423,0.841075,0.274204,0.953555,1.047053,0
195,633,1,3349,194,0.945244,0.998423,0.158965,0.998423,0.841035,0.274263,0.953316,1.047316,0
196,633,1,3348,195,0.944962,0.998423,0.159005,0.998423,0.840995,0.274323,0.953076,1.047579,0
197,633,1,3347,196,0.94468,0.998423,0.159045,0.998423,0.840955,0.274382,0.952837,1.047842,0
198,633,1,3346,197,0.944397,0.998423,0.159085,0.998423,0.840915,0.274442,0.952598,1.048105,0
199,633,1,3345,198,0.944115,0.998423,0.159125,0.998423,0.840875,0.274501,0.952358,1.048369,0
200,633,1,3344,199,0.943833,0.998423,0.159165,0.998423,0.840835,0.274561,0.952119,1.048633,0
201,633,1,3343,200,0.943551,0.998423,0.159205,0.998423,0.840795,0.27462,0.951879,1.048896,0
202,633,1,3342,201,0.943268,0.998423,0.159245,0.998423,0.840755,0.27468,0.95164,1.04916,0
203,633,1,3341,202,0.942986,0.998423,0.159285,0.998423,0.840715,0.27474,0.951401,1.049424,0
204,633,1,3340,203,0.942704,0.998423,0.159325,0.998423,0.840675,0.274799,0.951161,1.049688,0
205,633,1,3339,204,0.942422,0.998423,0.159366,0.998423,0.840634,0.274859,0.950922,1.049953,0
206,633,1,3338,205,0.942139,0.998423,0.159406,0.998423,0.840594,0.274919,0.950682,1.050217,0
207,633,1,3337,206,0.941857,0.998423,0.159446,0.998423,0.840554,0.274978,0.950443,1.050482,0
208,633,1,3336,207,0.941575,0.998423,0.159486,0.998423,0.840514,0.275038,0.950203,1.050746,0
209,633,1,3335,208,0.941293,0.998423,0.159526,0.998423,0.840474,0.275098,0.949964,1.051011,0
210,633,1,3334,209,0.94101,0.998423,0.159566,0.998423,0.840434,0.275158,0.949725,1.051276,0
211,633,1,3333,210,0.940728,0.998423,0.159607,0.998423,0.840393,0.275217,0.949485,1.051541,0
212,633,1,3332,211,0.940446,0.998423,0.159647,0.998423,0.840353,0.275277,0.949246,1.051806,0
213,633,1,3331,212,0.940164,0.998423,0.159687,0.998423,0.840313,0.275337,0.949006,1.052072,0
214,633,1,3330,213,0.939881,0.998423,0.159727,0.998423,0.840273,0.275397,0.948767,1.052337,0
215,633,1,3329,214,0.939599,0.998423,0.159768,0.998423,0.840232,0.275457,0.948528,1.052603,0
216,633,1,3328,215,0.939317,0.998423,0.159808,0.998423,0.840192,0.275517,0.948288,1.052868,0
217,633,1,3327,216,0.939035,0.998423,0.159848,0.998423,0.840152,0.275577,0.948049,1.053134,0
218,633,1,3326,217,0.938752,0.998423,0.159889,0.998423,0.840111,0.275637,0.947809,1.0534,0
219,633,1,3325,218,0.93847,0.998423,0.159929,0.998423,0.840071,0.275697,0.94757,1.053666,0
220,633,1,3324,219,0.938188,0.998423,0.15997,0.998423,0.84003,0.275757,0.947331,1.053933,0
221,633,1,3323,220,0.937906,0.998423,0.16001,0.998423,0.83999,0.275817,0.947091,1.054199,0
222,633,1,3322,221,0.937623,0.998423,0.160051,0.998423,0.839949,0.275877,0.946852,1.054466,0
